uniqueID,drugName,condition,review,rating,date,usefulCount,condition_primary,condition_subtype,condition_clean,rating_3_class,log_usefulCount,review_length,est_token_count,char_length,avg_word_length,year,month
163740,Mirtazapine,Depression,"I've tried a few antidepressants over the years (citalopram, fluoxetine, amitriptyline), but none of those helped with my depression, insomnia & anxiety. My doctor suggested and changed me onto 45mg mirtazapine and this medicine has saved my life. Thankfully I have had no side effects especially the most common - weight gain, I've actually lost alot of weight. I still have suicidal thoughts but mirtazapine has saved me.",10,28-Feb-12,22,Depression,,Depression,3,3.1354942159291497,68,88,423,6.22,2012,2
215892,Copper,Birth Control,"I've had the copper coil for about 3 months now. I was really excited at the thought of not taking hormones. I'm good with pain however I nearly fainted with insertion, couldn't belive how painful it was; the doctor did say it is very painful for some. Well 3 months in, my periods last 11 days and I'm in pain for about 15 days with random twangs especially in the left side and I'm considering whether I want to put up with the intense pain and heavy periods. I'd recommend this 100% to somebody who doesn't already have heavy painful periods but right now it just isn't for me",6,6-Jun-16,1,Birth Control,,Birth Control,2,0.6931471805599453,109,141,579,5.31,2016,6
23295,Methadone,Opiate Withdrawal,"Ive been on Methadone for over ten years and currently,I am trying to get off of this drug. Ive been decreasing my does 2 mgs per month for over a year. I am at 3 mgs and really starting to feel the withdraw.I don't plan to get my next 30 doses.because its almost rediculous how little it does for me. I have 3 does doses of 3 mg and Im terrified. Can anyone give me some truthful encouragement?.....",7,18-Oct-16,21,Opiate Withdrawal,,Opiate Withdrawal,3,3.091042453358316,78,101,400,5.13,2016,10
31947,Miconazole,Vaginal Yeast Infection,Honestly its day one on the 3 day treatment. Yes it burns a bit and it does leak out if you dont lay down after insertion. But im faithful it will work.,6,7-May-15,7,Vaginal Yeast Infection,,Vaginal Yeast Infection,2,2.079441541679836,32,41,152,4.75,2015,5
151674,Chantix,Smoking Cessation,I smoked for 50+ years. Took it for one week and that was it. I didn't think it was possible for me to quit. It has been 6 years now. Great product.,10,14-Feb-15,26,Smoking Cessation,,Smoking Cessation,3,3.295836866004329,32,41,148,4.62,2015,2
33173,Microgestin Fe 1 / 20,Acne,"So I was on Ginanvi for about 3 months before I switched over to this pill due to the high cost of Ginavi (I don't have insurance). Ginanvi had cleared up my acne in the short time I used and I was hoping this birth control would not mess that up. I was wrong. After 2-3 months of using this pill my skin went crazy with horrible breakouts. Now, 9 months later I still have horrible acne. If you want a pill that helps with acne this is NOT it. It also made my period ""weird"". I would have little to no period one month and a heavy one the next . The month that I had a heavier flow my boobs would hurt a lot. I also noticed that at the beginning of taking it , I would be moody and extremely irritable all the time . It's time for me to switch.",3,22-Jun-17,1,Acne,,Acne,1,0.6931471805599453,154,200,745,4.84,2017,6
30401,Klonopin,Bipolar Disorde,"This medication helped me sleep, but eventually it became ineffective as a sleep aid. It also helps me calm down when in severe stress, anxiety, or panic.",6,14-Jul-09,24,Bipolar Disorde,,Bipolar Disorde,2,3.218875824868201,27,35,154,5.7,2009,7
152490,Ciprofloxacin,Urinary Tract Infection,"After just 1 dose of this ciprofloxacn, I felt 99% better.",10,9-Jun-10,9,Urinary Tract Infection,,Urinary Tract Infection,3,2.302585092994046,11,14,58,5.27,2010,6
231397,Trazodone,Insomnia,"If I could give it a 0, I would absolutely do so. Started at 50mg, and felt WIRED. Wanted to get up and clean the house! Bumped it to 100mg, less wired, but still wide awake all night. Bumped to 150, with the same lack of effect. MD informed me after this dose it becomes less effective for sleep, so why even bother. 15 years of trying different sleep medications and alternatives, and this, I can say for sure, was the LEAST effective I have ever come across. At it's low price point, feel free to give it a try, and maybe you will be luckier? Everyone's sleep conditions are different. But if you get hyper after benadryl, expect the same reaction to this drug.",1,18-Oct-16,15,Insomnia,,Insomnia,1,2.772588722239781,125,162,664,5.31,2016,10
190527,Oxybutynin,Hyperhidrosis,"This drug is pretty amazing. I've had hyperhydrosis of the palms, soles and underarms since hitting puberty. I was skeptic since I've previously tried botox, iontophoresis and drysol with limited results. However, after three days of taking oxybutynin (5mg 3x a day) I was 95% sweat-free. My only negative things to say about the drug is about side effects. I have gotten fairly dizzy/spaced out a few times, and I experience dry mouth pretty often. However, that's not bad in comparison to the acne I've gotten. I used to get pimples around once a month, however now I have ones lasting for <6 wks, varying in size/colour. I constantly have groups of acne on my face. Does anyone have any remedies? I've tried acne masks, cleansers and tea tree oil.",9,30-May-17,10,Hyperhidrosis,,Hyperhidrosis,3,2.3978952727983707,130,169,750,5.77,2017,5
173391,Clonazepam,Panic Disorde,klonopin has definitely given me my life back!,10,19-Apr-08,47,Panic Disorde,,Panic Disorde,3,3.871201010907891,8,10,46,5.75,2008,4
211675,Lamotrigine,Bipolar Disorde,"I am a 25 year old female. I was diagnosed with bipolar II disorder about 5 years ago. I have been taking 150mg of lamotrigine for over 2 years. Thus far I have experienced significant improvements in controlling my bipolar II disorder. I recently paired 100mg of sertraline to improve the lows. Also, I experience rapid cycling. I rated this drug 70% as I feel I still have a long way to go in recovery. But, the drug has definitely allowed me to be a highly functioning individual.",7,22-Nov-17,1,Bipolar Disorde,,Bipolar Disorde,3,0.6931471805599453,88,114,483,5.49,2017,11
156919,Movantik,"Constipation, Drug Induced","my advice on movantik is understand that movantik is an opioid blocker in the same manner that naloxone (found in suboxone) is an opioid blocker. My husband took 12.5mg and was thrown in withdrawal. Nausea first, chills, fever, shaking so hard the bed was vibrating. I thought movantik worked on the backed up s**t but it stops the opioid from working. Of course you will have diarrhea when your pain meds are cut off. It may not happen to everyone but it happened to my husband. I guess it's back to OIC",1,26-Aug-16,24,Constipation,Drug Induced,Drug Induced Constipation,1,3.218875824868201,92,119,504,5.48,2016,8
178004,Duloxetine,Pain,"Been on 30mg Cymbalta for 2 weeks. Started getting relief by the 2nd day. Am 58 year old male with spinal stenosis, degenerative disc disease, and spondy. Plan was to go to 60mg but I am getting enough relief at 30mg. I believe I will try to stay on that dose to minimize side effects. Some constipation, difficult reaching orgasm, some night sweats and minor headaches. Oh, insomnia if I took it at night. I had samples of this medicine for 6 months but delayed starting it because of horror stories on the internet. Pain was ruining my life so this medicine seems to be the best option.",9,27-Mar-12,32,Pain,,Pain,3,3.49650756146648,108,140,588,5.44,2012,3
141462,Escitalopram,Depression,"I am a 22 year old female college student. I wanted to write this because when I was at my lowest of low when I felt absolutely hopeless... these positive reviews are what got me through the day. I experienced a lot of change. I was also in a relationship that made me unhappy. I stopped doing the things I liked to do such as run, party, work, hang out with friends etc. In result, I never had energy. I constantly felt guilty. I cried everyday, sometimes multiple times of day. I went to group therapy. I dropped 10lbs in two weeks. I eventually got on this medicine & the first 4 days felt crazy & tired! TAKE AT NIGHT. Give this medicine time! Now 3 weeks in I am back to myself and am truly happy! Keep your head up.",9,29-Apr-14,32,Depression,,Depression,3,3.49650756146648,141,183,721,5.11,2014,4
50229,Gabapentin,Bipolar Disorde,"I started taking gabapentin experimentally to treat chronic depression and am now prescribed 1800mg a day. At doses of 2700mg I experienced a significant improvement in impulse control and depression in general. Went from being a shut in, to going for walks and enjoying my time in the company of others. At the lower dose of 1800mg a day, I don't experience much improvement, save for a decrease in depressive symptoms. I'm looking forward to a larger dose if my doctor okays it.",8,24-Sep-14,75,Bipolar Disorde,,Bipolar Disorde,3,4.330733340286331,83,107,480,5.78,2014,9
